Model,Accuracy,CV Accuracy,CV Std,Precision,Recall,F1-Score,Train Time (s),Inference Time (s),Saved_at,Training dataset name,ROC-AUC,Num samples in dataset,Note,Ablation Group,Ablation Name,Ablation Mode,Parent Feature Dataset
Ablation meta model (Logistic Regression),0.5813155980463472,0.5813152253152254,0.0024637745424263,0.6100848726909636,0.8437769722078371,0.7081492212966316,0.163,0.002,2026-06-03 20-34-11,data/results/stacker_training_features.csv,0.4571723593659224,9623.0,meta_model_rich_intrinsic_only_lr; sklearn v1.8.0,rich,intrinsic_only,strict,data/results/stacker_training_features.csv
Ablation meta model (Gradient Boosting),0.8306141535903564,0.8306133326133326,0.005892627308379,0.820378636293674,0.9200759537372692,0.8673718470301057,5.484,0.009,2026-06-03 20-34-16,data/results/stacker_training_features.csv,0.8890887264227693,9623.0,meta_model_rich_intrinsic_only_gb; sklearn v1.8.0,rich,intrinsic_only,strict,data/results/stacker_training_features.csv
Ablation meta model (Support Vector Machine),0.7917489348436039,0.6772319032319032,0.0069232899250676,0.795784543325527,0.8798549974106681,0.8357107722577471,142.166,5.091,2026-06-03 20-36-44,data/results/stacker_training_features.csv,0.7882072267826614,9623.0,meta_model_rich_intrinsic_only_svm; sklearn v1.8.0,rich,intrinsic_only,strict,data/results/stacker_training_features.csv
Ablation meta model (Multi-layer Perceptron),0.8147147459212304,0.8147136647136646,0.0072466119949503,0.8115288999378496,0.9016053858104608,0.8541990350805463,48.034,0.005,2026-06-03 20-37-32,data/results/stacker_training_features.csv,0.8592089399333579,9623.0,meta_model_rich_intrinsic_only_mlp; sklearn v1.8.0,rich,intrinsic_only,strict,data/results/stacker_training_features.csv
Ablation meta model (Decision Tree),0.8214693962381794,0.8214680994680995,0.007115646659239,0.8442304443318128,0.8625927843949595,0.8533128415300546,0.281,0.003,2026-06-03 20-37-32,data/results/stacker_training_features.csv,0.8109604911662991,9623.0,meta_model_rich_intrinsic_only_dt; sklearn v1.8.0,rich,intrinsic_only,strict,data/results/stacker_training_features.csv
Ablation meta model (Logistic Regression),0.693027122518965,0.693027027027027,0.0088070762296626,0.6881877237173538,0.8960814776454341,0.778494301139772,0.277,0.003,2026-06-03 20-37-32,data/results/stacker_training_features.csv,0.6941086275458948,9623.0,meta_model_rich_intrinsic_and_vt_lr; sklearn v1.8.0,rich,intrinsic_and_vt,strict,data/results/stacker_training_features.csv
Ablation meta model (Gradient Boosting),0.8690637015483736,0.869064179064179,0.0028615537704701,0.8585666824869482,0.9368203003625064,0.8959881129271917,6.733,0.011,2026-06-03 20-37-39,data/results/stacker_training_features.csv,0.9374665967163934,9623.0,meta_model_rich_intrinsic_and_vt_gb; sklearn v1.8.0,rich,intrinsic_and_vt,strict,data/results/stacker_training_features.csv
Ablation meta model (Support Vector Machine),0.7760573625688455,0.616958500958501,0.0104105438496729,0.8534784298484259,0.7581563956499223,0.8029984459274156,132.753,4.911,2026-06-03 20-39-57,data/results/stacker_training_features.csv,0.8546430169841247,9623.0,meta_model_rich_intrinsic_and_vt_svm; sklearn v1.8.0,rich,intrinsic_and_vt,strict,data/results/stacker_training_features.csv
Ablation meta model (Multi-layer Perceptron),0.8591915203159098,0.8591918891918893,0.0036149188918347,0.8572118480360592,0.9192128430864837,0.8871303623490212,63.33,0.006,2026-06-03 20-41-00,data/results/stacker_training_features.csv,0.9155315747510162,9623.0,meta_model_rich_intrinsic_and_vt_mlp; sklearn v1.8.0,rich,intrinsic_and_vt,strict,data/results/stacker_training_features.csv
Ablation meta model (Decision Tree),0.8540995531539021,0.8540985500985501,0.0079956376395808,0.8715083798882681,0.8886587260486795,0.88,0.28,0.003,2026-06-03 20-41-01,data/results/stacker_training_features.csv,0.8451995949013823,9623.0,meta_model_rich_intrinsic_and_vt_dt; sklearn v1.8.0,rich,intrinsic_and_vt,strict,data/results/stacker_training_features.csv
